,x_pix,y_pix,ux,uy,Exx,Eyy,Exy,R,Reig,lambda1,width_mm,area_mm2,stress_mpa,frame
2906095,319.0,860.0,7.971977293247734,-0.001363105067138548,2.3133357807621477,-0.25662457574327047,-0.10321405314993765,0.9735738506917513,2.2961678935037626,5.634948741996417,3.0634,4.901440000000001,0.17707499938793494,19.0
2903649,321.0,861.0,7.196065299075363,-0.010695573766621447,2.0754783527472416,-0.24530207600938148,-0.09641886453232185,0.9786991415558921,2.374947853552211,5.158954537597099,3.0634,4.901440000000001,0.1694948227459685,17.0
2933021,317.0,849.0,14.938736967575242,-0.02039753417356671,3.6450736633236405,-0.3029571636448758,-0.11828233464187142,0.0,1.7145218869512386,8.297228413828227,3.0634,4.901440000000001,0.27809881871450015,36.0
2896308,324.0,864.0,10.047285310803904,-0.020160729271258226,2.8220293241805696,-0.27752433986673264,-0.10761052744381279,0.669965947083821,1.9860113243515731,6.651521723691982,3.074,4.9184,0.19950794608002603,24.0
2893857,321.0,865.0,11.614190757121012,-0.036100727339478667,3.1431289251014842,-0.27986792555555157,-0.12453470593172765,0.7520707422904912,2.0808550214368107,7.295307475270583,3.0634,4.901440000000001,0.22566593531696805,28.0
2903652,324.0,861.0,6.829325495180726,-0.016201016909150212,1.9494249420379193,-0.23805710121114604,-0.09077013102129898,0.9857020103243724,2.3720672877509794,4.90637001765476,3.074,4.9184,0.16210912186890045,16.0
2896302,318.0,864.0,9.946964946009825,-0.017910068023796022,2.8220293241805696,-0.2778425048719778,-0.10842930176461119,0.681785632806462,2.0008686150232182,6.651634809296233,3.0634,4.901440000000001,0.20019828499379771,24.0
2920734,270.0,854.0,16.752999998677133,-0.06433277514207392,3.807347612303823,-0.31396507138793045,-0.012359840708445332,1.2152189010067687,0.17182831544660399,8.614769358409232,3.0422,4.86752,0.3164231847018605,42.0
2923186,274.0,853.0,2.6735470156044956,-0.057529722872211364,0.6114745107232897,-0.15823090204066076,0.0115269167482741,1.8565415376228425,0.8577908934206069,2.223294192525671,3.0422,4.86752,0.14742429204194332,7.0
2918285,269.0,855.0,0.6365513338990687,-0.07890117108791866,0.10382769805799541,-0.044194918004206774,0.00029446695666464367,0.8436266644017343,0.11398004742030093,1.2076565676997355,3.0422,4.86752,0.09309657443626324,2.0
2910994,322.0,858.0,11.231142064661192,-0.00987420207905787,3.066638746723317,-0.296245332550682,-0.1361870899191643,0.9504646462090934,2.3152596199358406,7.144289829962121,3.0634,4.901440000000001,0.22098773727720827,27.0
2908495,271.0,859.0,14.537327629858762,-0.05908693709803803,3.58737178575755,-0.3396404204406277,0.06501213614002636,2.238985551194761,0.9481917861788909,8.176895548576695,3.0422,4.86752,0.2870336052034712,37.0
2925632,272.0,852.0,16.337824268793348,-0.05089337603297395,3.7705483068948062,-0.3136307989476975,-0.01369183476141711,1.238721846038924,0.19207595216089465,8.541188413991051,3.0422,4.86752,0.30965996195187695,41.0
2901199,319.0,862.0,11.991867782194149,-0.02932685766900267,3.20791266470514,-0.3039702463777255,-0.150198788117488,1.0634813586343363,2.44451767433102,7.428649538779228,3.0634,4.901440000000001,0.23128381026800285,29.0
2908546,322.0,859.0,11.230153927746514,-0.01378007522732716,3.066638746723317,-0.29624533255067415,-0.1361870899192762,0.9504646462106273,2.3152596199377298,7.144289829962139,3.0634,4.901440000000001,0.22098773727720827,27.0
2896301,317.0,864.0,2.887051542765623,-0.0799030055242742,0.6117696829916806,-0.1428619396328431,-0.006928895025078849,0.4437278424146368,0.5260206612476727,2.2236665950525394,3.0634,4.901440000000001,0.14640405472677415,7.0
2925681,321.0,852.0,6.388729808787246,0.009989787865612776,1.8469441195218659,-0.24512439420688287,-0.08671240068226176,0.5214814244306212,2.3693875053996556,4.70106407218448,3.0634,4.901440000000001,0.1613444581592348,15.0
2935473,321.0,848.0,7.20581048130005,0.030162106995194726,2.097799864862329,-0.2544076802466699,-0.0886751622414393,0.4447175078814643,2.155897214009245,5.202276131074638,3.0634,4.901440000000001,0.1694948227459685,17.0
2893858,322.0,865.0,6.392095688232125,-0.02820840701516536,1.8167912523957948,-0.24869500525308202,-0.03966218232735465,0.05877935162707963,1.0996729669092775,4.6351051574680255,3.0634,4.901440000000001,0.1613444581592348,15.0
2893858,322.0,865.0,10.414541702489574,-0.02702258273072955,2.9033470827696517,-0.27706939636899947,-0.10879390933480562,0.6882563750003138,1.9568926621949392,6.814128598788196,3.0634,4.901440000000001,0.20625903836423579,25.0
2906095,319.0,860.0,5.9462163514965205,-0.02144425273373951,1.681931139668316,-0.22200994503518334,-0.07906658170598575,0.8377480943910658,2.3739219651529755,4.370417923599874,3.0634,4.901440000000001,0.1545188493585558,14.0
